dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1743-11-01,-1.854,1.734,Montreal,Canada,45.81N,72.69W
1743-12-01,,,Montreal,Canada,45.81N,72.69W
1744-01-01,,,Montreal,Canada,45.81N,72.69W
1744-02-01,,,Montreal,Canada,45.81N,72.69W
1744-03-01,,,Montreal,Canada,45.81N,72.69W
1744-04-01,5.1640000000000015,2.209,Montreal,Canada,45.81N,72.69W
1744-05-01,12.306,1.541,Montreal,Canada,45.81N,72.69W
1744-06-01,18.401,1.46,Montreal,Canada,45.81N,72.69W
1744-07-01,19.32,1.331,Montreal,Canada,45.81N,72.69W
1744-08-01,,,Montreal,Canada,45.81N,72.69W
1744-09-01,11.273,1.446,Montreal,Canada,45.81N,72.69W
1744-10-01,4.949,1.564,Montreal,Canada,45.81N,72.69W
1744-11-01,-1.908,1.511,Montreal,Canada,45.81N,72.69W
1744-12-01,-9.774,1.828,Montreal,Canada,45.81N,72.69W
1745-01-01,-11.217,1.85,Montreal,Canada,45.81N,72.69W
1745-02-01,-11.169,1.71,Montreal,Canada,45.81N,72.69W
1745-03-01,-5.375,1.581,Montreal,Canada,45.81N,72.69W
1745-04-01,3.526,1.344,Montreal,Canada,45.81N,72.69W
1745-05-01,,,Montreal,Canada,45.81N,72.69W
1745-06-01,,,Montreal,Canada,45.81N,72.69W
1745-07-01,,,Montreal,Canada,45.81N,72.69W
1745-08-01,,,Montreal,Canada,45.81N,72.69W
1745-09-01,,,Montreal,Canada,45.81N,72.69W
1745-10-01,,,Montreal,Canada,45.81N,72.69W
1745-11-01,,,Montreal,Canada,45.81N,72.69W
1745-12-01,,,Montreal,Canada,45.81N,72.69W
1746-01-01,,,Montreal,Canada,45.81N,72.69W
1746-02-01,,,Montreal,Canada,45.81N,72.69W
1746-03-01,,,Montreal,Canada,45.81N,72.69W
1746-04-01,,,Montreal,Canada,45.81N,72.69W
1746-05-01,,,Montreal,Canada,45.81N,72.69W
1746-06-01,,,Montreal,Canada,45.81N,72.69W
1746-07-01,,,Montreal,Canada,45.81N,72.69W
1746-08-01,,,Montreal,Canada,45.81N,72.69W
1746-09-01,,,Montreal,Canada,45.81N,72.69W
1746-10-01,,,Montreal,Canada,45.81N,72.69W
1746-11-01,,,Montreal,Canada,45.81N,72.69W
1746-12-01,,,Montreal,Canada,45.81N,72.69W
1747-01-01,,,Montreal,Canada,45.81N,72.69W
1747-02-01,,,Montreal,Canada,45.81N,72.69W
1747-03-01,,,Montreal,Canada,45.81N,72.69W
1747-04-01,,,Montreal,Canada,45.81N,72.69W
1747-05-01,,,Montreal,Canada,45.81N,72.69W
1747-06-01,,,Montreal,Canada,45.81N,72.69W
1747-07-01,,,Montreal,Canada,45.81N,72.69W
1747-08-01,,,Montreal,Canada,45.81N,72.69W
1747-09-01,,,Montreal,Canada,45.81N,72.69W
1747-10-01,,,Montreal,Canada,45.81N,72.69W
1747-11-01,,,Montreal,Canada,45.81N,72.69W
1747-12-01,,,Montreal,Canada,45.81N,72.69W
1748-01-01,,,Montreal,Canada,45.81N,72.69W
1748-02-01,,,Montreal,Canada,45.81N,72.69W
1748-03-01,,,Montreal,Canada,45.81N,72.69W
1748-04-01,,,Montreal,Canada,45.81N,72.69W
1748-05-01,,,Montreal,Canada,45.81N,72.69W
1748-06-01,,,Montreal,Canada,45.81N,72.69W
1748-07-01,,,Montreal,Canada,45.81N,72.69W
1748-08-01,,,Montreal,Canada,45.81N,72.69W
1748-09-01,,,Montreal,Canada,45.81N,72.69W
1748-10-01,,,Montreal,Canada,45.81N,72.69W
1748-11-01,,,Montreal,Canada,45.81N,72.69W
1748-12-01,,,Montreal,Canada,45.81N,72.69W
1749-01-01,,,Montreal,Canada,45.81N,72.69W
1749-02-01,,,Montreal,Canada,45.81N,72.69W
1749-03-01,,,Montreal,Canada,45.81N,72.69W
1749-04-01,,,Montreal,Canada,45.81N,72.69W
1749-05-01,,,Montreal,Canada,45.81N,72.69W
1749-06-01,,,Montreal,Canada,45.81N,72.69W
1749-07-01,,,Montreal,Canada,45.81N,72.69W
1749-08-01,,,Montreal,Canada,45.81N,72.69W
1749-09-01,,,Montreal,Canada,45.81N,72.69W
1749-10-01,,,Montreal,Canada,45.81N,72.69W
1749-11-01,,,Montreal,Canada,45.81N,72.69W
1749-12-01,,,Montreal,Canada,45.81N,72.69W
1750-01-01,-12.954,1.726,Montreal,Canada,45.81N,72.69W
1750-02-01,-11.152999999999999,1.889,Montreal,Canada,45.81N,72.69W
1750-03-01,-3.915,2.251,Montreal,Canada,45.81N,72.69W
